<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20250121,0300,2724.68,2726.78,2720.95,2724.26,3851040
XAUUSD,20250121,0400,2724.28,2727.72,2722.81,2727.24,2792400
XAUUSD,20250121,0500,2727.28,2728.99,2725.11,2725.97,2288710
XAUUSD,20250121,0600,2725.95,2729.41,2723.59,2724.11,2755070
XAUUSD,20250121,0700,2724.09,2732.72,2722.47,2729.57,3404520
XAUUSD,20250121,0800,2729.53,2729.53,2721.21,2723.16,4724660
XAUUSD,20250121,0900,2723.14,2723.82,2717.55,2720.99,3440530
XAUUSD,20250121,1000,2720.99,2723.74,2718.72,2719.64,3714240
XAUUSD,20250121,1100,2719.57,2724.43,2716.34,2723.89,1980180
XAUUSD,20250121,1200,2723.86,2727.13,2721.66,2726.59,2017680
XAUUSD,20250121,1300,2726.41,2729.86,2724.43,2726.11,2719290
XAUUSD,20250121,1400,2726.16,2738.47,2725.20,2737.95,2404010
XAUUSD,20250121,1500,2737.95,2740.28,2734.36,2738.64,3342920
XAUUSD,20250121,1600,2738.61,2744.82,2737.59,2743.01,1872660
XAUUSD,20250121,1700,2743.01,2745.65,2739.72,2739.91,1148060
XAUUSD,20250121,1800,2739.83,2745.85,2739.55,2744.36,1059740
XAUUSD,20250121,1900,2744.41,2745.28,2741.20,2742.61,910330
XAUUSD,20250121,2000,2742.57,2743.15,2739.88,2742.30,1624160
XAUUSD,20250121,2100,2742.28,2745.72,2741.84,2744.01,403050
XAUUSD,20250121,2300,2743.81,2744.85,2741.70,2744.06,1078710
XAUUSD,20250122,0000,2744.06,2748.99,2742.45,2748.05,1418100
XAUUSD,20250122,0100,2748.05,2749.99,2746.66,2747.89,2975040
XAUUSD,20250122,0200,2747.82,2749.58,2746.08,2748.82,2250520
XAUUSD,20250122,0300,2748.78,2750.86,2747.78,2750.19,1795040
XAUUSD,20250122,0400,2750.19,2752.78,2749.11,2751.91,1384090
XAUUSD,20250122,0500,2751.91,2758.47,2750.20,2757.91,3104280
XAUUSD,20250122,0600,2757.89,2758.01,2745.43,2746.68,6036860
XAUUSD,20250122,0700,2746.70,2753.84,2746.36,2748.26,1866270
XAUUSD,20250122,0800,2748.26,2753.76,2746.64,2753.05,1686720
XAUUSD,20250122,0900,2753.03,2762.20,2752.70,2758.14,2313260
XAUUSD,20250122,1000,2758.13,2763.20,2758.09,2759.72,1282580
XAUUSD,20250122,1100,2759.73,2760.12,2756.13,2756.21,1840080
XAUUSD,20250122,1200,2756.21,2758.52,2751.39,2758.28,1571080
XAUUSD,20250122,1300,2758.28,2761.65,2750.80,2757.57,4407240
XAUUSD,20250122,1400,2757.55,2758.14,2750.15,2753.63,4140760
XAUUSD,20250122,1500,2753.70,2760.24,2750.23,2759.24,2880490
XAUUSD,20250122,1600,2759.26,2760.18,2755.70,2758.11,2155290
XAUUSD,20250122,1700,2758.18,2758.36,2755.72,2756.39,1097100
XAUUSD,20250122,1800,2756.39,2759.26,2754.76,2757.63,1311510
XAUUSD,20250122,1900,2757.72,2757.72,2754.84,2755.16,906810
XAUUSD,20250122,2000,2755.14,2756.93,2754.72,2756.57,1415110
XAUUSD,20250122,2100,2756.57,2756.93,2754.63,2755.76,473410
XAUUSD,20250122,2300,2755.49,2756.40,2753.55,2755.19,884040
XAUUSD,20250123,0000,2755.10,2755.79,2753.01,2755.18,1595660
XAUUSD,20250123,0100,2755.18,2756.09,2750.41,2752.61,3923820
XAUUSD,20250123,0200,2752.60,2754.80,2751.86,2752.41,2897120
XAUUSD,20250123,0300,2752.45,2752.88,2749.39,2749.88,2603820
XAUUSD,20250123,0400,2749.84,2753.42,2749.68,2751.43,924900
XAUUSD,20250123,0500,2751.50,2753.34,2751.18,2751.81,3071200
XAUUSD,20250123,0600,2751.82,2755.40,2751.02,2753.02,4246320
XAUUSD,20250123,0700,2753.05,2754.51,2751.64,2752.64,2500490
XAUUSD,20250123,0800,2752.70,2754.68,2751.86,2752.61,2116740
XAUUSD,20250123,0900,2752.66,2753.63,2740.90,2745.72,4259490
XAUUSD,20250123,1000,2745.76,2752.39,2745.11,2751.16,1919880
XAUUSD,20250123,1100,2751.24,2754.24,2750.68,2751.67,1783470
XAUUSD,20250123,1200,2751.68,2753.20,2741.86,2744.66,3909830
XAUUSD,20250123,1300,2744.64,2745.74,2735.66,2741.47,5494580
XAUUSD,20250123,1400,2741.55,2747.30,2740.22,2745.95,4044930
XAUUSD,20250123,1500,2745.93,2749.36,2741.88,2746.22,2795210
