<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
XAUUSD,20260116,2000,4590.28,4595.65,4580.34,4581.69,3632140
XAUUSD,20260116,2100,4581.60,4598.09,4581.60,4595.52,1079920
XAUUSD,20260118,2300,4625.76,4690.27,4618.99,4672.36,2817570
XAUUSD,20260119,0000,4672.38,4681.73,4660.69,4674.99,1931360
XAUUSD,20260119,0100,4675.22,4678.28,4655.84,4657.05,3045440
XAUUSD,20260119,0200,4657.02,4664.77,4652.85,4662.27,1908300
XAUUSD,20260119,0300,4662.23,4669.68,4657.85,4658.05,1725660
XAUUSD,20260119,0400,4658.21,4665.86,4657.90,4663.10,1063280
XAUUSD,20260119,0500,4663.07,4674.16,4662.95,4669.81,1370880
XAUUSD,20260119,0600,4669.81,4678.85,4666.53,4677.77,1581430
XAUUSD,20260119,0700,4677.73,4678.41,4661.63,4664.95,1622420
XAUUSD,20260119,0800,4664.95,4673.65,4661.35,4663.27,1573390
XAUUSD,20260119,0900,4663.27,4672.65,4661.66,4668.20,1531050
XAUUSD,20260119,1000,4668.15,4671.06,4660.95,4663.56,1233310
XAUUSD,20260119,1100,4663.60,4667.34,4659.43,4660.30,936970
XAUUSD,20260119,1200,4660.34,4673.59,4659.82,4671.81,1126900
XAUUSD,20260119,1300,4671.60,4673.56,4664.19,4665.90,1942260
XAUUSD,20260119,1400,4665.89,4670.20,4661.20,4666.35,1608770
XAUUSD,20260119,1500,4666.31,4675.95,4663.99,4674.06,2095000
XAUUSD,20260119,1600,4674.09,4675.44,4670.15,4671.94,996880
XAUUSD,20260119,1700,4671.98,4678.66,4668.85,4676.03,1201000
XAUUSD,20260119,1800,4676.02,4680.10,4673.48,4676.25,761080
XAUUSD,20260119,1900,4676.25,4676.35,4666.85,4669.98,618360
XAUUSD,20260119,2300,4671.30,4676.45,4664.19,4665.14,770400
XAUUSD,20260120,0000,4665.15,4667.81,4659.24,4660.10,899880
XAUUSD,20260120,0100,4660.11,4675.89,4659.66,4669.51,2006740
XAUUSD,20260120,0200,4669.40,4674.65,4665.20,4668.51,1788710
XAUUSD,20260120,0300,4668.56,4681.35,4665.73,4679.98,1437320
XAUUSD,20260120,0400,4679.97,4696.78,4679.40,4695.02,1956510
XAUUSD,20260120,0500,4694.99,4716.40,4694.11,4714.15,1948560
XAUUSD,20260120,0600,4714.15,4716.93,4705.35,4712.28,2025610
XAUUSD,20260120,0700,4712.24,4722.51,4711.22,4715.91,1397750
XAUUSD,20260120,0800,4715.94,4731.44,4714.74,4729.20,1930970
XAUUSD,20260120,0900,4729.23,4737.28,4721.00,4732.16,1659330
XAUUSD,20260120,1000,4732.19,4734.82,4722.78,4726.35,1535400
XAUUSD,20260120,1100,4726.38,4735.15,4721.41,4732.89,1533120
XAUUSD,20260120,1200,4732.68,4732.68,4723.77,4727.36,1514470
XAUUSD,20260120,1300,4727.35,4738.16,4715.07,4736.85,3036640
XAUUSD,20260120,1400,4736.90,4750.84,4728.30,4740.81,5008730
XAUUSD,20260120,1500,4740.66,4748.30,4722.03,4737.22,6978670
XAUUSD,20260120,1600,4737.23,4757.35,4728.69,4753.26,3602370
XAUUSD,20260120,1700,4753.24,4762.20,4745.76,4758.90,2755860
