time,open,high,low,close,volume
17.09.2024 06:00:00.000 UTC,140.699,140.723,140.514,140.678,25366.52
17.09.2024 07:00:00.000 UTC,140.679,140.696,140.348,140.6,31641.21
17.09.2024 08:00:00.000 UTC,140.598,140.695,140.438,140.57,22001.36
17.09.2024 09:00:00.000 UTC,140.57,140.65,140.472,140.641,23221.57
17.09.2024 10:00:00.000 UTC,140.64,140.68,140.575,140.666,17644.53
17.09.2024 11:00:00.000 UTC,140.666,140.741,140.479,140.605,17061.84
17.09.2024 12:00:00.000 UTC,140.604,141.126,140.541,140.97,46953.26
17.09.2024 13:00:00.000 UTC,140.968,141.662,140.868,141.58,55629.24
17.09.2024 14:00:00.000 UTC,141.583,141.901,141.529,141.699,59830.2
17.09.2024 15:00:00.000 UTC,141.699,141.811,141.583,141.774,30786
17.09.2024 16:00:00.000 UTC,141.775,141.994,141.689,141.734,25078.3
17.09.2024 17:00:00.000 UTC,141.734,142.006,141.719,141.901,23667.23
17.09.2024 18:00:00.000 UTC,141.904,141.987,141.795,141.809,21762.97
17.09.2024 19:00:00.000 UTC,141.81,142.297,141.78,142.223,21102.19
17.09.2024 20:00:00.000 UTC,142.221,142.464,142.196,142.392,14108.12
17.09.2024 21:00:00.000 UTC,142.39,142.39,142.32,142.34,349.18
17.09.2024 22:00:00.000 UTC,142.351,142.376,142.009,142.042,8687.87
17.09.2024 23:00:00.000 UTC,142.043,142.097,141.894,142.006,10671.94
18.09.2024 00:00:00.000 UTC,142.008,142.02,141.546,141.649,24991.67
18.09.2024 01:00:00.000 UTC,141.648,141.762,141.468,141.519,20301.8
18.09.2024 02:00:00.000 UTC,141.518,141.624,141.376,141.468,11921
18.09.2024 03:00:00.000 UTC,141.466,141.466,141.29,141.391,14383.22
18.09.2024 04:00:00.000 UTC,141.39,141.555,141.223,141.315,15800.38
18.09.2024 05:00:00.000 UTC,141.316,141.54,141.278,141.532,12077.02
18.09.2024 06:00:00.000 UTC,141.532,141.704,141.439,141.545,18690.14
18.09.2024 07:00:00.000 UTC,141.546,141.928,141.529,141.878,21554.98
18.09.2024 08:00:00.000 UTC,141.882,141.994,141.65,141.71,21614.61
18.09.2024 09:00:00.000 UTC,141.71,141.81,141.568,141.646,14868.78
18.09.2024 10:00:00.000 UTC,141.646,141.707,141.549,141.605,18200.58
